[General]
Name|Vickie
f6e3b193-422e-4948-bfef-ac1bf861532e|Bon, donne-moi juste une seconde.
9f57bc4d-1a2c-4af0-94e6-16bb34b7c546|Suce-moi d'abord. 
00833ba9-3340-4053-b2bb-23e52fdfaa0e|Je veux te baiser tout de suite.
4d0556ed-08e2-4115-9b34-1f5b22dc2430|C'est incroyable.
c7909ba8-10bc-495e-831c-0b1f012cf663|A tes ordres.
eb9b2cbd-808c-4c49-be4e-f083f54badb3|*Fin*
20d44fc6-9729-4d4f-bdb5-188e4189f67a|Joyeuse saint-Valentin, Vickie.

[Quests]
25bae201-0cae-404e-bf17-76c378252b9d|Trésor caché
25bae201-0cae-404e-bf17-76c378252b9dDescription|Trouvez les victuailles. Sinon que serait une saint-Valentin sans quelques bonbons ?
457fa85f-8b2a-4733-98b9-3c9b3e83d8d0|Public
457fa85f-8b2a-4733-98b9-3c9b3e83d8d0Description|Trouvez le DVD de Vickie.
f41f68a0-7293-4142-958a-45f5ea34482a|Secoue l'herbe
f41f68a0-7293-4142-958a-45f5ea34482aDescription|Secouer l'herbe à chat pour débusquer le chat ou trouvez un moyen de prouver qu'il n'existe pas.
717a4335-191d-4e43-96be-d800ba6c9b0e|En quête
717a4335-191d-4e43-96be-d800ba6c9b0eDescription|Utilisez les renseignements que vous avez trouvés pour gagner la partie de "Je n'ai jamais, jamais".

[Events]
4738091c-8de2-4e16-ad22-fc99cbb62a7e|*Vickie vous rends le médicament*
13ab9fe5-be96-4c2a-8686-f3cd8caf41ba|Vickie n'a-t-elle pas dit qu'elle avait envoyé un DVD porno à Madison ? Je me demande si je peux le trouver...
dbed221d-9117-424b-ad7d-d50e0c941870|Oh putain, j'avais des boucles d'oreilles en or au lycée. Quelle merde les années 90 ! 
2620e0d2-def7-4056-a608-d278bfcf7de0|Dieu merci, je n'ai pas marché à fond avec cette stupide histoire de chat...
f44034be-1a24-43eb-a0c3-4e3f5950485a|Merde, j'aurais peut-être dû donner le nom d'un de ses films...
bb7d0bb3-0f5c-4496-a415-8edfe135b31d|Vous jetez une couverture sur Vickie et éteignez les lumières avant de rentrer chez vous. Vous prévenez Madison qu'elle doit s'attendre à une invitée surprise quand elle rentrera chez elle. Elle est ravie quand vous lui apprenez qu'il s'agit de Vickie.

C'est tout pour aujourd'hui. Bonne saint-Valentin. (Essayez de gagner la partie de "Je n'ai jamais, jamais" la prochaine fois !) 

Game Over.
d5f87a6e-af3c-4e67-a75b-4b51a93a1658|J'aurais pu prendre le médicament avec moi C'est la preuve que Vickie me ment.
1984d190-3664-4068-85be-7b8ba39909d0|Le silence est une réponse suffisante. Je suppose que je ferais mieux de retourner chercher ce chat... ou de trouver un moyen de prouver qu'il n'existe pas.
46f18e6a-eff6-4639-aae9-1ab3ca9d80d8|Oui, Vickie, elle l'a gardé. Mais tu n'as pas besoin de savoir que je l'ai trouvé.
b8d0dd28-7aae-4188-b54f-90c1b8ed3213|Une heure plus tard, vous et Vickie ressentez encore les effets. Manger toute une barre était... une expérience intéressante. En plus, ça vous a permis d'avoir des discussions amusantes.
a7601b5f-decf-4499-8688-2496a2067b9f|*Vickie lance son short et sa culotte à votre visage. Vous les attraper.*
0536ad79-8439-4e9a-9ed2-fdb5ce82a30f|C'est une bonne blague. Merde, la boite est vide. Cette coquine de Madison a déjà dû regarder le film... Je devrais essayer de trouver ce DVD...
0f209237-d2e3-44c6-b803-c866f2c0aaa3|Ca doit être le DVD dont Vickie me parlait. Merde, il n'est plus là ! Cette coquine de Madison a déjà dû regarder le film... Je devrais essayer de trouver ce DVD...
77dbe5e6-4282-426c-96d9-7f87f58d30cc|Après avoir son dernier texto, vous vous demandez si vous devez simplement aller manger un morceau et rentrer sagement à la maison. Mais lorsque vous repensez à Vickie Vixen, vous vous apercevez que c'est impossible de passer à côté d'une telle opportunité. Ce n'est plus la saint-Sopalin.

Profitez bien de notre histoire surprise et merci de votre soutien !


dea62bc6-7d59-44c1-9860-80f5bbea97b0|Mon dieu, regardez-moi ça. Je dois absolument enlever mon pantalon et mon caleçon ! 
d12b50eb-5c2c-4164-97e8-35733efec555|*Vickie enlève son haut*
1e985d27-5ef1-4f57-ac9a-a36307753b9a|Vickie et vous nettoyez les preuves de votre passage chez Madison avant de vous échapper par l'arrière à la manière de Bonnie et Clyde. Madison et Ashley reviennent plus tard dans la nuit, ivres et toujours célibataires, et sans se douter de la merveilleuse soirée que vous avez passé chez elles. 

Game over et bonne saint-Valentin. 
f91033ce-edc1-4fda-b9fb-b7ea27e7d679|La nuit de la saint-Valentin : Vous êtes dans le jardin de Madison et que vous avez un sentiment étrange qui vous dit que vous ne devriez pas être là. Après tout, Madison ne vous a pas invité.

Vous vous rappelez pourquoi vous êtes ici : les textos que vous avez échangé depuis votre canapé la nuit la plus romantique de l'année. Tout a commencé par le texto d'une personne inattendue... Vous décidez de les relire.
12166807-ce1b-43e1-8d46-5ea420afb235|*Vickie attrape votre bite et vous plonge à l'intérieur d'elle*
89eb0172-15a9-491c-b8d1-369f0e92953f|Attends, il y a une photo d'un chat ici. Est-ce qu'il existe vraiment ?
