[General]
Name|Brittney
a74cbd38-d47c-4e09-abc0-3e2e121b6585|Ok. Il n'est pas simplet, Brittney. Il m'a donné son téléphone pour que je prenne des photos de nous quand nous sommes... Intimes.
685328ca-33d5-4bcf-a0cf-c73653e5b0c9|Ok. A quoi penses-tu ?
4db0e8bb-7c3d-4c3c-b8aa-6fd0196bcd05|Alors, comptes sur moi !
6463ead0-8162-44e2-8806-d14a66d21dec|Et merde, ok.
fe50db81-ce29-4968-9432-136e29c00219|Tout à fait, c'était exquis.
91f26e53-0478-46ee-a68f-1b2f450c340d|Ouais, tu as un réel talent culinaire.
2584a02f-77f0-46fe-89e9-d9069e63eaf8|Merde. Merde et merde alors.
4da1cb39-5e11-4adf-8384-197d5870ce63|Merde, ça ne fonctionne jamais. Je ne sais pas pourquoi je continue à faire ça.
fe24b41f-fa48-43b1-b41f-6974be16d68a|Je comprends parfaitement ton point de vue.
823ab977-0825-47b6-85a4-67f6b69b30d3|Ok, je sais où se trouve la porte.
3870d5b0-3aa7-4917-8ed1-17afb431b758|Pas de problème.
f09745ab-ccdc-481a-8c7d-fa3aa2b78bb2|Rien pour le moment, mais je ne désespère pas.
a803ec28-40b1-4c21-a4f3-f8498406eef7|Trouver Patrick en train de t'espionner dans ton jardin, ça compte ?
1c7f076e-2aef-4c6e-893c-d7172398ba79|Trouver Patrick en train de t'espionner dans ton jardin et lui botter les fesses jusqu'au trottoir, ça compte ?
d22dc997-cce8-43f7-8b0b-fc99e2e41bdd|Regarde cette vidéo trop géniale de moi, euh... Surfant dans des rouleaux ... sur des vagues, avec ma planche...
4b34f7f2-3d0b-4f52-81d6-80a74cb6479d|Est-ce que je peux avoir une seconde chance ?
4b41f44b-0852-481d-ae3b-b4cb7f1376b6|Oui !
de7fd2ff-6399-46e0-b603-1ed400d99259|Oui !
c8283f10-2497-47a5-80f4-0babb2fbf5e0|Oui ! 
630b6a13-c039-41b7-99e6-a330f5d6ddcb|Je t'y emmènerais un jour, mais pas qu'en simple ami, si tu vois ce que je veux dire...
781b4240-bf21-4fa7-9ece-fb04a2ebe964|Je n'ai pas peur, je suis juste en train de me détendre. Je vais me coucher.
968128c0-5407-47b5-a2ac-70ea01c66e10|Motus et bouche cousue.
11167917-f36d-431f-bf9f-1f4c54a490b3|Oui, m'dame.
718440ea-dcdc-4043-8935-933689e6b362|Euh, je le savais.
2d93d3d1-3c0d-44d7-8b69-9768903d2883|Je vais voir ce que je peux faire.
3f7ef852-f9fd-4084-a0ae-2e24a162c931|C'est typique du charme du Sud.
50f02d47-d9c4-4961-8841-10a9ede6e2ba|Désolé, je voulais juste vérifier le cours de certaines actions.
f9aac402-9427-45d2-b7dd-afb38f88b19d|C'est juste un truc que je fais pour améliorer ma confiance en soi.
f364b17d-b7d3-4508-b037-1fb3bd5e222c|Est-ce que j'ai fait quelque chose de mal ?

[Quests]
36317cb8-6b51-46eb-8095-e7ef7aa2e4d1|Tous les coins et recoins
36317cb8-6b51-46eb-8095-e7ef7aa2e4d1Description|Récupérez la tablette de Brittney, et profitez-en pour visiter. 
dea0dcf6-9b20-4f07-9af8-93afbc140c5e|Délivre-nous du plat infernal
dea0dcf6-9b20-4f07-9af8-93afbc140c5eDescription|La livraison à domicile reste toujours une option valable, surtout si vous pensez que le plat de Brittney n'est pas digeste...
531752a0-5e06-47c4-90d0-9e6500b86246|Estomac en béton
531752a0-5e06-47c4-90d0-9e6500b86246Description|Sélectionne "Tenter" encore une fois avec le four.
f6040246-a546-4c77-81e4-e978d23f32ab|Vengeance
f6040246-a546-4c77-81e4-e978d23f32abDescription|Brittney a un plan pour se venger de Patrick. Faites-le boire puis prenez une photo de lui dans l'état dans lequel il sera.
978b9f3e-0b03-4398-bfbd-d9628195f131|Sers-en un
978b9f3e-0b03-4398-bfbd-d9628195f131Description|Le pervers est parti, c'est l'heure de fêter ça. Débrouillez-vous pour ouvrir le bar !
a861c5b1-447c-43fb-83b7-158de3f15570|Ravive la flamme
a861c5b1-447c-43fb-83b7-158de3f15570Description|Brittney n'est plus vraiment d'humeur, vu votre comportement. Ravivez la flamme, soit avec un cadeau ou sinon avec quelque chose d'autre.
0d6fa15a-9527-47c1-b94e-438aec474822|Une odeur de cramé
0d6fa15a-9527-47c1-b94e-438aec474822Description|Le plat semble presque prêt. Vous devez surveiller le four et prévenir Brittney. Enfin, uniquement si vous comptez manger son plat...
c0eb64c4-1d81-4719-8634-23d0cd6ea71b|Sur le ring
c0eb64c4-1d81-4719-8634-23d0cd6ea71bDescription|Vous avez demandé à Brittney de vous montrer quelques mouvements de catch. Retrouvez-la dans le salon et interagissez avec elle quand vous serez prêt.
beb9f20d-7b1f-427f-b8d2-6ef732bb5a68|Dopage
beb9f20d-7b1f-427f-b8d2-6ef732bb5a68Description|Votre estomac vous remercie de prendre soin de lui. Vous êtes libre de manger quoi que ce soit mis dans votre assiette.

[Events]
1e31a4af-38c6-443f-9fae-beae01cdc181|La maison de Brittney ressemble fortement à celle de Madison...Putain de ville étudiante où tous ses quartiers sortent du même moule.
c3bc603f-00b7-40b1-96ff-311a257403c9|Je dois attendre que Brittney aille à l'étage avant d'agir. Mais je peux déjà commencer à chercher un moyen de saboter son plat.

D'un autre côté, je n'imagine même pas tous les points que je pourrais marquer en mangeant ce truc...
ef2c0564-3173-4cd7-acdc-e422c3e2f6fb|* 20 minutes plus tard *
d9f58c21-91a2-45e3-a147-e0ee38074da9|Vous avez réussi à avaler quelques bouchées de l'abomination culinaire du Dr. Mobus avant que votre vision ne commence à s'estomper. Brittney est sérieusement impressionnée et semble de plus en plus affectueuse. Vous décidez de vous mettre tous deux plus à l'aise.
639bfbb1-75ec-4f42-806d-5c6c6ced9636|L'aide à la digestion a été d'une grande aide : vous avez pu avaler tout ce que Brittney vous a cuisiné. Elle est vraiment impressionnée et semble de plus en plus affectueuse. Vous décidez de vous mettre tous deux plus à l'aise.
5f6c1e37-1ae1-415b-bf98-fa3b6d4d744c|Oh, je ne me sens pas bien tout à coup. Je crois que le plat revient me hanter.
9af1f064-b608-4269-bbd7-ec0c36f9b84e|Oh mon dieu, je crois que je vais vomir ! MERDE !
3aa404f9-baec-4f22-a9cc-f016ac4f70ac|Ce n'est pas bon signe... J'aurais peut-être dû faire quelque chose pour protéger mon estomac... Tant pis.
096541f5-0e64-4983-a563-14361b610cf4|Eh bien, vous avez été courageux de tester la cuisine de Brittney. Mais cela ne vous servira pas beaucoup quand vous êtes en position foetale sur le sol... Vous auriez peut-être dû vous préparer un peu avant de manger ce plat...
66396c27-470e-4185-98ac-6b01eca0f0db|Il fallait que vous l'ouvrier... Eh bien, tant pis pour vous. 

Game Over.
ed7b4244-66f4-4188-ab3b-fff768a9bb0f|Je ne dois pas oublier de prendre une photo et la télécharger, ou... Je peux simplement oublier toute cette histoire...
194c4dce-71a8-4a3f-89cc-47c4d51e78ef|Obtenir ces photos risque d'être plus compliqué que prévu. J'ai l'impression que je dois d'abord m'occuper de son cas à elle. Quelle plaie !
0f52e162-56f3-4315-9251-9a751186284f|Brittney utilise ses talents de lutteuse dans la boue sur vous. Vous vous évanouissez avant même de comprendre ce qui s'est passé...

Game Over.

Bon travail, abruti. Vous n'êtes pas Louie C.K.
643630de-bbb4-4c12-b254-18a51b4e8777|Vous avez accepté l'offre de Patrick et avez vraiment pris votre pied avec Brittney. Mais la question reste entière : est-ce que vous vivrez assez longtemps pour dépenser l'argent durement gagné ? Vous auriez dû prévoir une stratégie de sortie... 

Game Over.
b1f99a78-2869-4fe6-b218-9aa19ac02f58|Félicitations, vous avez conclu cette la nuit ! Vous n'avez pas respecté votre part du marché avec Patrick, mais cela n'a pas d'importance - vous avez eu une relation sexuelle. 

Game Over.
8b9644e1-8f68-4d00-888f-93303f77291b|RAGE PRIMAIRE !
e97c83d5-4ba6-4cd7-a333-85268bcbfacc|C'était une bonne soirée de beuverie, de lutte et de sexe. De plus, vous avez effrayé un pervers. Bien joué. 

Game Over.
c8c75063-2931-45cd-bdc7-a379c684025d|C'était un mensonge. J'ai l'impression que mes entrailles sont sur le point d'exploser... Que dois-je faire ?
6974932e-2829-44d5-972b-51140a0477d7|Ouf ! Prendre un cachet d'aide à la digestion avant de manger, c'était une idée de génie !
667c49f3-11f3-4839-953b-546d4c22e6cc|Sérieusement, vous avez choisi la réplique concernant les "verrues génitales" ? Vous méritez ce Game over et un rendez-vous chez le dermato. 
dddb715c-6a49-4cc1-afbb-4b39434c46b8|Elle est sûre et certaine que j'ai trafiqué son plat... Que puis-je faire qui puisse mettre Brittney de meilleure humeur ?
a746afb4-1caf-4aec-b279-9c199a2bf3ba|Eh bien, je n'ai pas été le plus gentil des invités... Que puis-je faire qui puisse mettre Brittney de meilleure humeur ?
fce5c8b4-68bb-4fe4-90eb-8806492a0ab9|Oh, je ne me sens pas bien tout à coup. Je crois que le plat revient me hanter.
aabd6519-42b6-4c0c-a594-ee9e3638bf91|Oh mon dieu, je ne vais pas tarder à vomir ! Merde !
19a6131f-18c3-4a36-be58-441ce21e0f52|Ce n'est pas bon signe... J'aurais peut-être dû faire quelque chose pour protéger mon estomac... Tant pis.
e2be4bdb-c7f2-41f2-83df-34961233782b|Eh bien, vous avez été courageux de tester la cuisine de Brittney. Mais cela ne vous servira pas beaucoup quand vous êtes en position foetale sur le sol... Vous auriez peut-être dû vous préparer un peu avant de manger ce plat...
059131b9-da40-4024-852c-78c6c4802a64|Après avoir eu un orgasme sans même avoir une relation sexuelle avec Brittney, elle vous jette dehors. Poliment, bien entendu. 

Game Over.
6bee3bb6-b545-4841-b9e1-42f911c15722|Depuis la soirée chez Madison, vous vous êtes réinscrit à l'université, dans l'espoir de rencontrer plus de gens. Comme si le destin l'avait voulu, Brittney est dans l'une de vos classes ! 

Même si vous comptiez rencontrer d'autres personnes, vous vous trouvez à traîner plus souvent avec elle que quiconque.
f0e5709a-7df0-447e-8316-04db897b81ce|Vous avez pris votre courage à deux mains, et vous lui avez invité à sortir. C'est peut-être de votre apparence (ou pas) ou peut-être votre personnalité exceptionnelle (mais bien sûr), mais vous avez certainement eu de la chance. Non seulement elle a accepté, mais elle veut cuisiner pour vous ! Quelle chance ! 

L'heure du rendez-vous a sonné. Voyons voir ce que vous pouvez faire lors de Soirée chez Brittney.
2df055a3-f17a-4c13-afe2-cf91fd1de9ed|Bon, l'avenir de ce plat est entre mes mains. Comme Brittney n'est plus dans les parages, je peux choisir entre le fait de saboter son plat sans qu'elle le sache ou alors, de ne rien faire et de devoir le manger...
5b1333b0-afa2-481a-bc66-7b6d4bcba966|Je n'ai pas envie de tout gâcher trop tôt. Voyons-voir jusqu'où cela peut aller !
7852df31-1244-4958-af9e-8d8495836a18|*Brittney vous demande gentiment de retourner en bas pendant qu'elle se prépare*
72639a5f-557d-40f7-ab8c-08fa923d8c3f|Eh bien, ce n'était pas très sournois de ma part.
